,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
145,AABR07030494.1,AABR07048397.2,AABR07036526.1,AABR07019449.1,Adck2,Fstl1,Abcd2,AABR07061390.1,Polg2
146,AABR07030498.1,AABR07049038.1,AABR07036679.1,AABR07020537.1,Adgrb2,G3bp2,Abcd3,AABR07061400.2,Ppp1r15b
147,AABR07030520.1,AABR07049134.1,AABR07037923.1,AABR07020703.1,Adgrf3,Gaa,Abce1,AABR07062020.1,Ppt1
148,AABR07030524.1,AABR07049466.1,AABR07038021.1,AABR07020736.1,Adgrg2,Gadd45g,Abcf2,AABR07062430.1,Prkcg
149,AABR07030563.1,AABR07049768.1,AABR07039174.1,AABR07020905.1,Aen,Gcfc2,Abhd11,AABR07062535.2,Prkra
150,AABR07030729.1,AABR07049960.2,AABR07039950.1,AABR07020999.1,Agap3,Gfpt2,Abhd14b,AABR07062539.1,Prmt2
151,AABR07030791.1,AABR07050283.2,AABR07040127.1,AABR07021022.1,Agtpbp1,Gigyf1,Abo2,AABR07062823.1,Prr14l
152,AABR07031138.1,AABR07051240.1,AABR07041725.1,AABR07021465.1,Agtr1b,Gjc2,Abra,AABR07063248.1,Psmd7
153,AABR07031184.1,AABR07051308.1,AABR07042440.4,AABR07021492.1,Ajap1,Gnat2,Acap2,AABR07063346.1,Pth1r
154,AABR07032135.1,AABR07051426.1,AABR07042866.1,AABR07021614.1,Akap8l,Gorab,Acat1,AABR07063682.1,Ptms
155,AABR07032255.2,AABR07051515.1,AABR07043775.1,AABR07021687.1,Alox12,Gpld1,Acin1,AABR07064349.1,RGD1309748
156,AABR07032453.1,AABR07051787.1,AABR07043776.1,AABR07021691.2,Alpk2,Gpn2,Acly,AABR07064747.1,RGD1310352
157,AABR07032821.1,AABR07051791.1,AABR07043823.1,AABR07021823.1,Alppl2,Gprc5a,Acsl3,AABR07065160.1,RGD1311575
158,AABR07033020.1,AABR07051996.1,AABR07043883.1,AABR07021888.1,Alx1,Gpx7,Actb,AABR07065291.1,RGD1562200
159,AABR07033570.2,AABR07052559.1,AABR07044063.2,AABR07022202.1,Angptl4,Gpx8,Actr2,AABR07065593.1,RGD1564093
160,AABR07033745.1,AABR07053516.2,AABR07044418.1,AABR07024498.1,Ank2,Grem2,Acvr1,AABR07065640.1,Rap2c
161,AABR07033829.1,AABR07054460.2,AABR07044473.1,AABR07024542.1,Ankh,Gstm6l,Adam15,AABR07065645.2,Rell1
162,AABR07034362.1,AABR07055673.1,AABR07044980.1,AABR07024972.1,Ankle2,H2afx,Adam17,AABR07065651.4,Rgs3
163,AABR07034657.1,AABR07055827.1,AABR07045391.1,AABR07025074.1,Ankrd13d,Hapln1,Adam23,AABR07065656.2,Rn50_X_0675.1
164,AABR07034669.1,AABR07056390.1,AABR07047174.2,AABR07025263.1,Ankrd16,Has2,Adamts15,AABR07065705.5,Rn50_X_0733.2
165,AABR07034750.1,AABR07056464.1,AABR07047191.1,AABR07025900.1,Ankrd34b,Hipk4,Adamts2,AABR07066201.1,Rn50_X_1141.3
166,AABR07034833.1,AABR07056495.1,AABR07047844.1,AABR07025928.1,Anln,Hist1h2ail1,Adamts5,AABR07066782.1,Rn60_7_1218.1
167,AABR07035012.1,AABR07056556.1,AABR07048957.1,AABR07026002.2,Ap5s1,Hist2h4a,Adcy6,AABR07066820.1,Rprd1a
168,AABR07035064.1,AABR07057302.1,AABR07049033.2,AABR07026059.1,Apba2,Hmg20a,Adgre5,AABR07067036.1,Rsf1
169,AABR07035098.1,AABR07057460.1,AABR07049048.1,AABR07026114.1,Apc2,Hmgcs1,Adh4,AABR07067042.3,Rtkn
170,AABR07035107.1,AABR07057495.1,AABR07049350.1,AABR07026137.1,Apmap,Hsd17b7,Adipoq,AABR07067402.1,Runx1t1
171,AABR07035722.1,AABR07057510.2,AABR07049385.1,AABR07026302.1,Apobec2,Hyou1,Adnp,AABR07068094.2,Sae1
172,AABR07035835.1,AABR07057617.1,AABR07049554.2,AABR07026377.1,Apobec3b,Ikbip,Adprh,AABR07068447.1,Sart1
173,AABR07036007.1,AABR07057946.1,AABR07049769.1,AABR07026539.1,Apobec4,Il11ra1,Afg3l2,AABR07068674.1,Sat2
174,AABR07036746.1,AABR07058017.1,AABR07049778.1,AABR07026557.2,Areg,Il25,Agpat5,AABR07069352.1,Scube1
175,AABR07036920.1,AABR07058017.2,AABR07050006.1,AABR07026565.2,Arhgef19,Il33,Ahctf1,AABR07070486.1,Sec24a
176,AABR07036974.1,AABR07058831.1,AABR07050354.1,AABR07026892.1,Arid3a,Inafm1,Ahsa1,AABR07070635.1,Selenom
177,AABR07037203.1,AABR07058985.1,AABR07050415.1,AABR07027010.1,Arr3,Insig2,Aida,AABR07071101.1,Sfr1
178,AABR07037343.1,AABR07059159.1,AABR07050530.1,AABR07027190.1,Asb16,Irf2bpl,Aip,AABR07071332.1,Sgce
179,AABR07037412.1,AABR07060165.1,AABR07051190.1,AABR07027235.1,Ascc3,Jmjd8,Ak6,AABR07071402.1,Shisa5
180,AABR07037798.1,AABR07060287.1,AABR07051374.1,AABR07027263.1,Asl,Kcnip2,Akap11,AABR07071567.1,Slc20a1
